中文	翻译文本
攻坚拔寨	攻堅拔寨
后开始	後開始
福利活动	福利活動
所有产出速度提升	所有產出速度提升
铜币产出速度	銅幣產出速度
木材产出速度	木材產出速度
矿石产出速度	礦石產出速度
铁产出速度	鐵產出速度
粮草产出速度	糧草產出速度
所有采集速度	所有採集速度
木材采集速度	木材採集速度
矿石采集速度	礦石採集速度
铁采集速度	鐵採集速度
粮草采集速度	糧草採集速度
建筑速度	建築速度
排名奖励在活动结束后结算并发送奖励邮件	排名獎勵在活動結束後結算並發送獎勵郵件
有武将未配兵	有武將未配兵
阵型未编队	陣型未編隊
队伍正在	隊伍正在
请上阵武将后再进行操作	請上陣武將後再進行操作
编队中	編隊中
(联盟全体)	(聯盟全體)
未开战	未開戰
采集完成	採集完成
战胜	戰勝
未能战胜	未能戰勝
未能占领	未能佔領
攻破	攻破
未能攻破	未能攻破
击退	擊退
对我方主城的进攻	對我方主城的進攻
抵御	抵禦
对我方主城的进攻失败	對我方主城的進攻失敗
占据的	佔據的
对我方	對我方
的进攻	的進攻
未能击退	未能擊退
完成	完成
的主城详情	的主城詳情
对友方主城的进攻	對友方主城的進攻
对友方主城的进攻失败	對友方主城的進攻失敗
普通城池	普通城池
资源点	資源點
的城池	的城池
的战斗中防守城池	的戰鬥中防守城池
的资源点	的資源點
的战斗中防守资源点	的戰鬥中防守資源點
占领的	佔領的
玩家移城	玩家移城
友军移城	友軍移城
与目标玩家处于同一联盟	與目標玩家處於同一聯盟
城池已进入保护	城池已進入保護
贼军已被击溃	賊軍已被擊潰
进入战斗保护冷却时间	進入戰鬥保護冷卻時間
驻防已达上限	駐防已達上限
普通城池数不足，不能攻打郡守城池	普通城池數不足，不能攻打郡守城池
寻宝信息	尋寶資訊
",使其降低繁荣度"	",使其降低繁榮度"
"防守成功,击退"	"防守成功,擊退"
从	從
"防守失败,抵御"	"防守失敗,抵禦"
"失败,繁荣度降低"	"失敗,繁榮度降低"
对友军	對友軍
的进攻成功	的進攻成功
的进攻失败	的進攻失敗
"出征胜利,击退"	"出征勝利,擊退"
主城内的协防部队	主城內的協防部隊
"出征失败,未能击退"	"出征失敗,未能擊退"
在	在
的采集详情	的採集詳情
部队在	部隊在
后返回	後返回
"后,因粮食耗尽无法继续寻宝,部队返回"	"後,因糧食耗盡無法繼續尋寶,部隊返回"
"后,部队兵力为0无法继续寻宝,部队返回"	"後,部隊兵力為0無法繼續尋寶,部隊返回"
"后,因"	"後,因"
"不再归属我方,部队返回"	"不再歸屬我方,部隊返回"
"后,因主公已非城池所属联盟的成员,部队返回"	"後,因主公已非城池所屬聯盟的成員,部隊返回"
",使其城墙耐久降低"	",使其城牆耐久降低"
",未能降低城墙耐久"	",未能降低城牆耐久"
已迁城	已遷城
友军	友軍
"已迁城,无法协防"	"已遷城,無法協防"
"为友军,无法攻击"	"為友軍,無法攻擊"
已使用免战令	已使用免戰令
已不存在	已不存在
"攻城时间已结束,"	"攻城時間已結束,"
为免战状态	為免戰狀態
已达驻守上限	已達駐守上限
我方未占领足够的	我方未佔領足夠的
"所辖县城,无法攻击"	"所轄縣城,無法攻擊"
"主公您尚未加入联盟,无法攻击城池"	"主公您尚未加入聯盟,無法攻擊城池"
"已达同时寻宝部队数上限,无法寻宝"	"已達同時尋寶部隊數上限,無法尋寶"
寻宝点已消失	尋寶點已消失
已非占领	已非佔領
"的联盟成员,无法寻宝"	"的聯盟成員,無法尋寶"
"已达协防部队数上限,无法协防"	"已達協防部隊數上限,無法協防"
"已非本联盟成员,无法协防"	"已非本聯盟成員,無法協防"
"已不再归属本联盟,无法寻宝"	"已不再歸屬本聯盟,無法尋寶"
为我方占领无法攻击	為我方佔領無法攻擊
已非我方占领无法驻守	已非我方佔領無法駐守
【逐匪】讨伐	【逐匪】討伐
【进攻】VS	【進攻】VS
【防守】VS	【防守】VS
【协防】VS	【協防】VS
【攻城】进攻	【攻城】進攻
【守城】防守	【守城】防守
【采集】从	【採集】從
【侦察】	【偵察】
【寻宝】部队从	【尋寶】部隊從
寻宝归来	尋寶歸來
【未开战】VS	【未開戰】VS
【协防】友军	【協防】友軍
【未开战】	【未開戰】
为友军	為友軍
【未开战】讨伐	【未開戰】討伐
【未开战】进攻	【未開戰】進攻
【驻守】	【駐守】
【未寻宝】部队从	【未尋寶】部隊從
【协防】	【協防】
"的主城已达协防部队数上限,无法协防"	"的主城已達協防部隊數上限,無法協防"
【未驻守】驻守	【未駐守】駐守
 胜	 勝
 负	 負
平 	平
【逐匪】	【逐匪】
【进攻】	【進攻】
(地点:主城)	(地點:主城)
【防守】	【防守】
(地点:	(地點:
(协防)	(協防)
【攻城】	【攻城】
【守城】	【守城】
扎营点的驻防部队	紮營點的駐防部隊
",使其建筑值降低"	",使其建築值降低"
的扎营点	的紮營點
对我方扎营点的进攻	對我方紮營點的進攻
，建筑值降低	，建築值降低
，扎营点被摧毁	，紮營點被摧毀
的扎营点已消失	的紮營點已消失
的扎营点已摧毁，无法驻防	的紮營點已摧毀，無法駐防
(单次击败%s波%s部队)	(單次擊敗%s波%s部隊)
无法扎营	無法紮營
已被摧毁，无法进攻	已被摧毀，無法進攻
攻击建筑达到时没有联盟	攻擊建築達到時沒有聯盟
攻击建筑达到时建筑是自己联盟的	攻擊建築達到時建築是自己聯盟的
对我方建筑的进攻	對我方建築的進攻
成功，降低其%s耐久度	成功，降低其%s耐久度
征战途中遭受	征戰途中遭受
所属警戒营	所屬警戒營
的%s次攻击	的%s次攻擊
所属多座警戒营	所屬多座警戒營
的警戒营	的警戒營
警戒营	警戒營
发起的进攻	發起的進攻
耐久损失	耐久損失
已被摧毁	已被摧毀
【未驻守】	【未駐守】
您已非	您已非
所属联盟成员	所屬聯盟成員
已开拔，无法协防	已開拔，無法協防
的建筑已消失，无法协防	的建築已消失，無法協防
成功占领	成功佔領
的领地	的領地
对我方领地	對我方領地
资源建筑	資源建築
联盟占据的	聯盟佔據的
成功消灭	成功消滅
只敌军	只敵軍
遭遇	遭遇
战斗胜利	戰鬥勝利
战斗失败	戰鬥失敗
【前往】	【前往】
VS	VS
侦察点	偵察點
侦察部队	偵察部隊
",侦察点被摧毁"	",偵察點被摧毀"
对盟友	對盟友
的侦察点	的偵察點
遭遇未知敌人被消灭	遭遇未知敵人被消滅
侦察点被未知敌人消灭	偵察點被未知敵人消滅
被敌人	被敵人
",并被摧毁"	",並被摧毀"
一队敌军	一隊敵軍
"失败,耐久度降低"	"失敗,耐久度降低"
",使其降低耐久度"	",使其降低耐久度"
",主城已随机迁城至新地点"	",主城已隨機遷城至新地點"
联盟占领城池数已达上限，无法继续攻击城池	聯盟佔領城池數已達上限，無法繼續攻擊城池
未有道路连通到该郡，无法继续攻击城池	未有道路連通到該郡，無法繼續攻擊城池
名城	名城
防守%s从%s对我方主城%s的进攻	防守%s從%s對我方主城%s的進攻
董卓军消失了	董卓軍消失了
已转移位置	已轉移位置
攻打名城权限不足	攻打名城許可權不足
尊敬的主公，只有占领了郡城的盟主和副盟主才有资格发起名城战	尊敬的主公，只有佔領了郡城的盟主和副盟主才有資格發起名城戰
奉诏兴师	奉詔興師
此值集结诏令颁布之时，%s不可同室操戈，当同仇敌忾，剑指名城。	此值集結詔令頒佈之時，%s不可同室操戈，當同仇敵愾，劍指名城。
的防守队伍	的防守隊伍
的进攻队伍	的進攻隊伍
的驻防详情	的駐防詳情
【采收】从	【採收】從
【掠夺】从	【掠奪】從
【讨董】进攻	【討董】進攻
【占领】	【佔領】
与%s守军进行交战	與%s守軍進行交戰
与%s战斗后	與%s戰鬥後
对%s成功换防	對%s成功換防
【换防】	【換防】
【平叛】 	【平叛】
讨伐蛮族（已战胜%s次）	討伐蠻族（已戰勝%s次）
（已战胜%s次）	（已戰勝%s次）
【采集】	【採集】
驻防队伍更换	駐防隊伍更換
【寻宝】	【尋寶】
寻宝完成	尋寶完成
采集详情	採集詳情
"攻破董卓的主城<color=#7fb05e>%s</color>,使其降低%s"	"攻破董卓的主城<color=#7fb05e>%s</color>,使其降低%s"
的详情	的詳情
未能防守	未能防守
对我方主城的进攻，繁荣度降低%s点	對我方主城的進攻，繁榮度降低%s點
的%s详情	的%s詳情
已逃走	已逃走
"防守失败,未能击退"	"防守失敗,未能擊退"
的%s	的%s
"协防成功,击退"	"協防成功,擊退"
"协防失败,未能击退"	"協防失敗,未能擊退"
处于保护状态	處於保護狀態
【未协防】	【未協防】
【争占】争占	【爭佔】爭佔
争占	爭佔
，该驻守部队已返回，当前剩余驻守部队数为{0}	，該駐守部隊已返回，當前剩餘駐守部隊數為{0}
，已丧失对{0}@的采集权，对其进行采集行为的民夫全部返回	，已喪失對{0}@的採集權，對其進行採集行為的民夫全部返回
对友军玩家{0}	對友軍玩家{0}
民夫已将{0}@的资源运输回主城	民夫已將{0}@的資源運輸回主城
"民夫已于野外采集{0},收获颇丰"	"民夫已於野外採集{0},收穫頗豐"
辎重返城	輜重返城
采集成效	採集成效
攻占成功	攻佔成功
攻占失败	攻佔失敗
攻城战攻城	攻城戰攻城
玩家<color=#7fb05e>%s</color>加入了联盟	玩家<color=#7fb05e>%s</color>加入了聯盟
玩家<color=#7fb05e>%s</color>被%s<color=#7fb05e>%s</color>移出了联盟	玩家<color=#7fb05e>%s</color>被%s<color=#7fb05e>%s</color>移出了聯盟
玩家<color=#7fb05e>%s</color>退出了联盟	玩家<color=#7fb05e>%s</color>退出了聯盟
玩家<color=#7fb05e>%s</color>被任命为%s	玩家<color=#7fb05e>%s</color>被任命為%s
玩家<color=#7fb05e>%s</color>将%s职务转让给了<color=#7fb05e>%s</color>	玩家<color=#7fb05e>%s</color>將%s職務轉讓給了<color=#7fb05e>%s</color>
玩家<color=#7fb05e>%s</color>完成了%sLv.%s的皇榜任务，为%s增加了%s点建设值	玩家<color=#7fb05e>%s</color>完成了%sLv.%s的皇榜任務，為%s增加了%s點建設值
玩家<color=#7fb05e>%s</color>对%sLv.%s进行了一次金饼捐献，为%s增加了%s点建设值，并提升了联盟经验值%s	玩家<color=#7fb05e>%s</color>對%sLv.%s進行了一次金餅捐獻，為%s增加了%s點建設值，並提升了聯盟經驗值%s
击退%s（%s）对我方%s%sLv.%s的进攻	擊退%s（%s）對我方%s%sLv.%s的進攻
未能击退%s（%s）对我方%s%sLv.%s的进攻，失去城池	未能擊退%s（%s）對我方%s%sLv.%s的進攻，失去城池
我方对%s（%s）占领的%s%sLv.%s发起了进攻	我方對%s（%s）佔領的%s%sLv.%s發起了進攻
我方对%s%sLv.%s发起了进攻	我方對%s%sLv.%s發起了進攻
，攻城成功，但已达到城池占领数上限，未能占领	，攻城成功，但已達到城池佔領數上限，未能佔領
，但未能占领	，但未能佔領
，并成功占领	，並成功佔領
"%s<color=#7fb05e>%s</color>更改入团设置为\""无需批准\"""	"%s<color=#7fb05e>%s</color>更改入團設置為\""無需批准\"""
"%s<color=#7fb05e>%s</color>更改入团设置为\""需要批准\"""	"%s<color=#7fb05e>%s</color>更改入團設置為\""需要批准\"""
"%s<color=#7fb05e>%s</color>更改申请设置为\""任何人都可以申请\"""	"%s<color=#7fb05e>%s</color>更改申請設置為\""任何人都可以申請\"""
"%s<color=#7fb05e>%s</color>更改申请设置为\""主公等级%s级及以上&大殿等级%s级及以上\"""	"%s<color=#7fb05e>%s</color>更改申請設置為\""主公等級%s級及以上&大殿等級%s級及以上\"""
"%s<color=#7fb05e>%s</color>更改入团设置为\""主公等级%s级及以上\"""	"%s<color=#7fb05e>%s</color>更改入團設置為\""主公等級%s級及以上\"""
"%s<color=#7fb05e>%s</color>更改入团设置为\""大殿等级%s级及以上\"""	"%s<color=#7fb05e>%s</color>更改入團設置為\""大殿等級%s級及以上\"""
盟主解除了<color=#7fb05e>%s</color>的%s职务	盟主解除了<color=#7fb05e>%s</color>的%s職務
，放弃了本联盟对	，放棄了本聯盟對
的占领	的佔領
%s<color=#7fb05e>%s</color>取消了对%s%sLv.%s的放弃	%s<color=#7fb05e>%s</color>取消了對%s%sLv.%s的放棄
<color=#7fb05e>%s</color>购买了%s个<color=#6495ED>%s</color>	<color=#7fb05e>%s</color>購買了%s個<color=#6495ED>%s</color>
"玩家%s（%s）%s了%s级%s%s军屯(<color=#5add53>%s,%s</color>)获得了%s"	"玩家%s（%s）%s了%s級%s%s軍屯(<color=#5add53>%s,%s</color>)獲得了%s"
"玩家%s（%s）-%s%s了%s级%s%s军屯(<color=#5add53>%s,%s</color>)获得了%s"	"玩家%s（%s）-%s%s了%s級%s%s軍屯(<color=#5add53>%s,%s</color>)獲得了%s"
<color=#FFA76DFF>%s</color>	<color=#FFA76DFF>%s</color>
<color=#DA89FFFF>%s</color>	<color=#DA89FFFF>%s</color>
<color=#6DB9FFFF>%s</color>	<color=#6DB9FFFF>%s</color>
<color=#8CD45CFF>%s</color>	<color=#8CD45CFF>%s</color>
团员	團員
副盟主人数达到上限	副盟主人數達到上限
帮助申请成功	幫助申請成功
已经帮助盟友加速	已經説明盟友加速
帮助成功	幫助成功
盟友%s为你的%s升级伸出了援手	盟友%s為你的%s升級伸出了援手
没有请求可以帮助	沒有請求可以幫助
邀请成功	邀請成功
暂无联盟	暫無聯盟
暂未加入联盟	暫未加入聯盟
人员	人員
捐献	捐獻
暂无统计！	暫無統計！
忽略提示	忽略提示
已忽略	已忽略
投石车	投石車
井阑	井闌
输入礼包码即可获得奖励	輸入禮包碼即可獲得獎勵
礼包码格式不正确	禮包碼格式不正確
该礼包码不存在	該禮包碼不存在
目标奖励	目標獎勵
排行奖励	排行獎勵
未进入排名	未進入排名
积分	積分
没有武将可以分解	沒有武將可以分解
最多只能选择%s位武将	最多只能選擇%s位武將
没有可分解的星魂	沒有可分解的星魂
无%s品质的闲置武将，请手动选择	無%s品質的閒置武將，請手動選擇
没有符合条件的装备，请手动添加	沒有符合條件的裝備，請手動添加
分解成功	分解成功
选择的武将中有高星级、高品质武将，确认分解吗？	選擇的武將中有高星級、高品質武將，確認分解嗎？
该武将已为初始状态，无法重置	該武將已為初始狀態，無法重置
选择的武将中有高星级、高品质武将，确认重置吗？	選擇的武將中有高星級、高品質武將，確認重置嗎？
没有武将可以重置	沒有武將可以重置
选择的装备中有高强化等级、高品质装备，确认分解吗？	選擇的裝備中有高強化等級、高品質裝備，確認分解嗎？
没有宝物可以重置	沒有寶物可以重置
宝物重置后将恢复初始状态，确定重置吗？	寶物重置後將恢復初始狀態，確定重置嗎？
当前没有可分解星魂	當前沒有可分解星魂
选中的武将中有已上阵中的武将，是否确认分解？	選中的武將中有已上陣中的武將，是否確認分解？
选中的装备中有正在被武将穿戴的，是否确认分解？	選中的裝備中有正在被武將穿戴的，是否確認分解？
选择的武将中有已上阵的武将，下阵后方能重置，是否前往下阵？	選擇的武將中有已上陣的武將，下陣後方能重置，是否前往下陣？
